Name,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9
Atlantic Sun,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,,2 cl Smirnoff ,2 cl ,2 cl ,6 cl ,1 dash ,,,,
Atomic Lokade,Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,5,1,0.5,0.5,,,,,
Autodafé,Vodka,Lime juice,Soda water,,,,,,,4 cl ,1 dash ,,,,,,,
Avalon,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,3,1,6,1.5,,,,,
Bacardi Cocktail,Light rum,Lime juice,Sugar syrup,Grenadine,,,,,,1.75,1,0.05,0.01,,,,,
Balmoral,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,1.5,0.5,0.5,0.02,,,,,
Banana Daiquiri,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,,1.5,0.3,1,1.5,0.1,,,,
Barracuda,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,4.5 cl,1.5 cl,6 cl, 1 dash,top up ,,,,
Bellini,Champagne,Peach schnapps,,,,,,,,6,1,,,,,,,
Bellini Martini,Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,,,,,,3,1.5,1.5,1,,,,
Bermuda Highball,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,,,,,0.75,0.75,0.75,,,,,,
Between The Sheets,Brandy,Light rum,Triple sec,Lemon juice,,,,,,1,1,1,1,,,,,
Black Russian,Coffee liqueur,Vodka,,,,,,,,0.75,1.5,,,,,,,
Blackthorn,Sweet Vermouth,Sloe gin,Lemon peel,,,,,,,1,1.5,,,,,,,
Bloody Maria,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,1,2,0.01,0.01,0.01,,,,
Bloody Mary,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,,,,1.5,3,0.01,0.05,0.003,,,,
Blue Lagoon,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,1,1,,,,,,,
Blue Margarita,Tequila,Blue Curacao,Lime juice,Salt,,,,,,1.5,1,1,,,,,,
Blue Mountain,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,,,,,1.5,0.5,0.5,1,0.1,,,,
Bluebird,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,1.5,0.5,0.5,0.02,,,,,
Bobby Burns Cocktail,Sweet Vermouth,Scotch,Benedictine,Lemon peel,,,,,,1.5,1.5,1.25,,,,,,
Boomerang,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,2,0.5,0.02,0.05,,,,,
Boston Sidecar,Light rum,Brandy,Triple sec,Lime,,,,,,0.75,0.75,0.75,Juice of 1/2 ,,,,,
Boston Sour,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,,,,2 oz ,Juice of 1/2 ,1 tsp ,1,1 slice ,1,,,
Bourbon Sling,Sugar,Water,Lemon juice,Bourbon,Lemon peel,,,,,0.1,0.2,1,2,,,,,
